Hours,Discharge (cfs)
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,0
57,0
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,0
61,0
61.5,0
62,0
62.5,2500
63,2500
63.5,2500
64,2500
64.5,2500
65,2500
65.5,2500
66,9666.666667
66.5,16833.33333
67,24000
67.5,24000
68,24000
68.5,34000
69,44000
69.5,49599.998
70,55199.99638
70.5,60799.99526
71,66399.9947
71.5,71999.9947
72,77599.99521
72.5,83199.99613
73,88799.99732
73.5,94399.99866
74,100000
74.5,91666.66667
75,83333.33333
75.5,75000
76,66666.66667
76.5,58333.33333
77,50000
77.5,49618.0727
78,49235.83749
78.5,48853.1757
79,48469.99987
79.5,48086.25699
80,47701.92956
80.5,47317.03458
81,46931.62057
81.5,46545.76298
82,46159.55837
82.5,45773.11762
83,45386.55881
83.5,45000
84,42806.95877
84.5,40601.78972
85,38379.47709
85.5,36135.96277
86,33868.28038
86.5,31574.63636
87,29254.43692
87.5,26908.26185
88,24537.78885
88.5,22145.67356
89,19735.39245
89.5,17311.05711
90,14877.209
90.5,12438.6045
91,10000
91.5,9991.888899
92,9984.057492
92.5,9976.617655
93,9969.657807
93.5,9963.241698
94,9957.408871
94.5,9952.176482
95,9947.542081
95.5,9943.486979
96,9939.979865
96.5,9936.980359
97,9934.442278
97.5,9932.316131
98,9930.549409
98.5,9929.080703
99,9927.819066
99.5,9926.594006
100,9925.056449
100.5,9922.510712
101,9917.665727
101.5,9908.312109
102,9890.957679
102.5,9860.481685
103,9809.888306
103.5,9730.244988
104,9610.875979
104.5,9439.846809
105,9204.727586
105.5,8893.572026
106,8496.006147
106.5,8004.294883
107,7414.251608
107.5,6725.87478
108,5943.63314
108.5,5076.368453
109,4136.83386
109.5,3140.928592
110,2106.720127
110.5,1053.360064
111,0
111.5,0
112,0
112.5,0
113,0
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
181.5,0
182,0
182.5,0
183,0
183.5,0
184,0
184.5,0
185,0
185.5,0
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,0
189.5,0
190,0
190.5,0
191,0
191.5,0
192,0
192.5,0
193,0
193.5,0
194,0
194.5,0
195,0
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,0
212,0
212.5,0
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
226.5,0
227,0
227.5,0
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,0
232,0
232.5,0
233,0
233.5,0
234,0
234.5,0
235,0
235.5,0
236,0
236.5,0
237,0
237.5,0
238,0
238.5,0
239,0
239.5,0
240,0
240.5,0
241,0
241.5,0
242,0
242.5,0
243,0
243.5,0
244,0
244.5,0
245,0
245.5,0
246,0
246.5,0
247,0
247.5,0
248,0
248.5,0
249,0
249.5,0
250,0
250.5,0
251,0
251.5,0
252,0
252.5,0
253,0
253.5,0
254,0
254.5,0
255,0
255.5,0
256,0
256.5,0
257,0
257.5,0
258,0
258.5,0
259,0
259.5,0
260,0
260.5,0
261,0
261.5,0
262,0
262.5,0
263,0
263.5,0
264,0
264.5,0
265,0
265.5,0
266,0
266.5,0
267,0
267.5,0
268,0
268.5,0
269,0
269.5,0
270,0
270.5,0
271,0
271.5,0
272,0
272.5,0
273,0
273.5,0
274,0
274.5,0
275,0
275.5,0
276,0
276.5,0
277,0
277.5,0
278,0
278.5,0
279,0
279.5,0
280,0
280.5,0
281,0
281.5,0
282,0
282.5,0
283,0
283.5,0
284,0
284.5,0
285,0
285.5,0
286,0
286.5,0
287,0
287.5,0
288,0
288.5,0
289,0
289.5,0
290,0
290.5,0
291,0
291.5,0
292,0
292.5,0
293,0
293.5,0
294,0
294.5,0
295,0
295.5,0
296,0
296.5,0
297,0
297.5,0
298,0
298.5,0
299,0
299.5,0
300,0
300.5,0
301,0
301.5,0
302,0
302.5,0
303,0
303.5,0
304,0
304.5,0
305,0
305.5,0
306,0
306.5,0
307,0
307.5,0
308,0
308.5,0
309,0
309.5,0
310,0
310.5,0
311,0
311.5,0
312,0
312.5,0
313,0
313.5,0
314,0
314.5,0
315,0
315.5,0
316,0
316.5,0
317,0
317.5,0
318,0
318.5,0
319,0
319.5,0
320,0
320.5,0
321,0
321.5,0
322,0
322.5,0
323,0
323.5,0
324,0
324.5,0
325,0
325.5,0
326,0
326.5,0
327,0
327.5,0
328,0
328.5,0
329,0
329.5,0
330,0
330.5,0
331,0
331.5,0
332,0
332.5,0
333,0
333.5,0
334,0
334.5,0
335,0
335.5,0
336,0
336.5,0
337,0
337.5,0
338,0
338.5,0
339,0
339.5,0
340,0
340.5,0
341,0
341.5,0
342,0
342.5,0
343,0
343.5,0
344,0
344.5,0
345,0
345.5,0
346,0
346.5,0
347,0
347.5,0
348,0
348.5,0
349,0
349.5,0
350,0
350.5,0
351,0
351.5,0
352,0
352.5,0
353,0
353.5,0
354,0
354.5,0
355,0
355.5,0
356,0
356.5,0
357,0
357.5,0
358,0
358.5,0
359,0
359.5,0
360,0
